length,turn,step
466,1,1
473,1,1
481,1,1
481,1,1
440,1,1
440,1,1
440,1,1
440,1,1
499,1,1
499,1,1
499,1,1
499,1,1
411,1,1
411,1,1
410,1,1
451,1,1
488,1,1
488,1,1
488,1,1
456,1,1
456,1,1
456,1,1
456,1,1
442,1,1
442,1,1
442,1,1
442,1,1
466,1,1
466,1,1
484,1,1
410,1,1
499,1,1
499,1,1
499,1,1
519,1,1
497,1,1
497,1,1
497,1,1
497,1,1
435,1,1
435,1,1
439,1,1
435,1,1
467,1,1
450,1,1
479,1,1
469,1,1
469,1,1
469,1,1
469,1,1
468,1,1
468,1,1
468,1,1
468,1,1
494,1,1
449,1,1
456,1,1
484,1,1
481,1,1
484,1,1
462,1,1
462,1,1
462,1,1
462,1,1
467,1,1
467,1,1
467,1,1
490,1,1
505,1,1
505,1,1
505,1,1
468,1,1
477,1,1
477,1,1
477,1,1
549,1,1
549,1,1
549,1,1
549,1,1
484,1,1
484,1,1
484,1,1
484,1,1
497,1,1
497,1,1
497,1,1
467,1,1
493,1,1
493,1,1
493,1,1
493,1,1
442,1,1
442,1,1
442,1,1
442,1,1
458,1,1
458,1,1
458,1,1
454,1,1
465,1,1
465,1,1
465,1,1
455,1,1
465,1,1
458,1,1
458,1,1
440,1,1
458,1,1
463,1,1
463,1,1
463,1,1
463,1,1
409,1,1
409,1,1
409,1,1
466,1,1
466,1,1
475,1,1
466,1,1
423,1,1
446,1,1
446,1,1
446,1,1
485,1,1
485,1,1
539,1,1
539,1,1
539,1,1
539,1,1
483,1,1
483,1,1
483,1,1
483,1,1
466,1,1
466,1,1
466,1,1
466,1,1
492,1,1
492,1,1
492,1,1
492,1,1
482,1,1
482,1,1
482,1,1
482,1,1
466,1,1
418,1,1
418,1,1
423,1,1
438,1,1
512,1,1
512,1,1
512,1,1
512,1,1
452,1,1
452,1,1
452,1,1
452,1,1
427,1,1
427,1,1
427,1,1
429,1,1
427,1,1
444,1,1
497,1,1
444,1,1
444,1,1
547,1,1
531,1,1
531,1,1
531,1,1
411,1,1
411,1,1
411,1,1
411,1,1
465,1,1
465,1,1
465,1,1
482,1,1
435,1,1
472,1,1
472,1,1
472,1,1
490,1,1
497,1,1
490,1,1
490,1,1
494,1,1
509,1,1
494,1,1
416,1,1
416,1,1
465,1,1
465,1,1
442,1,1
442,1,1
442,1,1
442,1,1
418,1,1
418,1,1
418,1,1
418,1,1
454,1,1
454,1,1
454,1,1
426,1,1
464,1,1
464,1,1
464,1,1
464,1,1
540,1,1
540,1,1
540,1,1
490,1,1
473,1,1
473,1,1
473,1,1
473,1,1
552,1,1
517,1,1
485,1,1
533,1,1
533,1,1
485,1,1
486,1,1
486,1,1
486,1,1
486,1,1
438,1,1
438,1,1
438,1,1
438,1,1
446,1,1
446,1,1
446,1,1
446,1,1
456,1,1
456,1,1
456,1,1
456,1,1
434,1,1
434,1,1
434,1,1
438,1,1
455,1,1
455,1,1
455,1,1
455,1,1
461,1,1
460,1,1
431,1,1
461,1,1
461,1,1
524,1,1
461,1,1
511,1,1
511,1,1
511,1,1
511,1,1
471,1,1
471,1,1
519,1,1
471,1,1
464,1,1
461,1,1
444,1,1
464,1,1
516,1,1
516,1,1
522,1,1
522,1,1
481,1,1
498,1,1
475,1,1
461,1,1
481,1,1
468,1,1
478,1,1
468,1,1
467,1,1
459,1,1
488,1,1
499,1,1
465,1,1
447,1,1
444,1,1
444,1,1
444,1,1
611,1,1
611,1,1
611,1,1
611,1,1
465,1,1
465,1,1
465,1,1
465,1,1
452,1,1
452,1,1
452,1,1
452,1,1
501,1,1
501,1,1
501,1,1
500,1,1
502,1,1
502,1,1
496,1,1
502,1,1
494,1,1
494,1,1
494,1,1
495,1,1
432,1,1
432,1,1
432,1,1
432,1,1
475,1,1
475,1,1
475,1,1
475,1,1
461,1,1
487,1,1
461,1,1
461,1,1
459,1,1
459,1,1
435,1,1
459,1,1
425,1,1
454,1,1
425,1,1
425,1,1
496,1,1
496,1,1
496,1,1
496,1,1
469,1,1
469,1,1
469,1,1
469,1,1
486,1,1
486,1,1
486,1,1
486,1,1
462,1,1
462,1,1
462,1,1
467,1,1
501,1,1
501,1,1
501,1,1
501,1,1
478,1,1
478,1,1
478,1,1
478,1,1
490,1,1
525,1,1
493,1,1
498,1,1
506,1,1
506,1,1
506,1,1
507,1,1
461,1,1
481,1,1
481,1,1
461,1,1
417,1,1
417,1,1
417,1,1
417,1,1
457,1,1
457,1,1
457,1,1
457,1,1
411,1,1
440,1,1
411,1,1
411,1,1
454,1,1
454,1,1
454,1,1
454,1,1
494,1,1
470,1,1
488,1,1
488,1,1
458,1,1
458,1,1
458,1,1
458,1,1
481,1,1
466,1,1
481,1,1
465,1,1
465,1,1
476,1,1
488,1,1
488,1,1
488,1,1
488,1,1
487,1,1
487,1,1
487,1,1
487,1,1
458,1,1
458,1,1
468,1,1
458,1,1
466,1,1
466,1,1
466,1,1
466,1,1
484,1,1
484,1,1
484,1,1
484,1,1
471,1,1
471,1,1
471,1,1
457,1,1
457,1,1
496,1,1
457,1,1
460,1,1
469,1,1
469,1,1
441,1,1
464,1,1
464,1,1
464,1,1
464,1,1
485,1,1
556,1,1
431,1,1
431,1,1
446,1,1
441,1,1
477,1,1
477,1,1
477,1,1
477,1,1
479,1,1
479,1,1
521,1,1
521,1,1
521,1,1
512,1,1
405,1,1
405,1,1
405,1,1
405,1,1
481,1,1
481,1,1
484,1,1
481,1,1
493,1,1
493,1,1
493,1,1
493,1,1
474,1,1
474,1,1
474,1,1
474,1,1
490,1,1
490,1,1
496,1,1
490,1,1
470,1,1
527,1,1
479,1,1
479,1,1
466,1,1
466,1,1
466,1,1
466,1,1
461,1,1
461,1,1
461,1,1
461,1,1
453,1,1
453,1,1
453,1,1
453,1,1
496,1,1
496,1,1
496,1,1
496,1,1
483,1,1
483,1,1
483,1,1
483,1,1
464,1,1
464,1,1
439,1,1
464,1,1
519,1,1
519,1,1
519,1,1
519,1,1
443,1,1
495,1,1
447,1,1
531,1,1
501,1,1
501,1,1
501,1,1
501,1,1
499,1,1
499,1,1
499,1,1
499,1,1
452,1,1
452,1,1
452,1,1
452,1,1
470,1,1
470,1,1
470,1,1
470,1,1
452,1,1
452,1,1
452,1,1
452,1,1
437,1,1
437,1,1
437,1,1
443,1,1
480,1,1
502,1,1
500,1,1
480,1,1
438,1,1
438,1,1
438,1,1
438,1,1
567,1,1
567,1,1
567,1,1
567,1,1
503,1,1
451,1,1
464,1,1
508,1,1
477,1,1
485,1,1
440,1,1
477,1,1
477,1,1
485,1,1
499,1,1
477,1,1
485,1,1
499,1,1
426,1,1
426,1,1
426,1,1
426,1,1
422,1,1
422,1,1
422,1,1
422,1,1
414,1,1
414,1,1
414,1,1
499,1,1
499,1,1
499,1,1
499,1,1
489,1,1
489,1,1
489,1,1
489,1,1
489,1,1
489,1,1
489,1,1
489,1,1
434,1,1
442,1,1
434,1,1
434,1,1
468,1,1
501,1,1
482,1,1
461,1,1
484,1,1
482,1,1
435,1,1
410,1,1
435,1,1
435,1,1
443,1,1
443,1,1
443,1,1
443,1,1
442,1,1
442,1,1
442,1,1
442,1,1
455,1,1
455,1,1
455,1,1
455,1,1
496,1,1
496,1,1
496,1,1
496,1,1
483,1,1
483,1,1
483,1,1
483,1,1
496,1,1
496,1,1
496,1,1
496,1,1
475,1,1
472,1,1
475,1,1
481,1,1
475,1,1
449,1,1
467,1,1
475,1,1
472,1,1
451,1,1
460,1,1
478,1,1
489,1,1
478,1,1
452,1,1
452,1,1
452,1,1
452,1,1
460,1,1
460,1,1
460,1,1
460,1,1
470,1,1
470,1,1
470,1,1
470,1,1
524,1,1
524,1,1
530,1,1
530,1,1
530,1,1
530,1,1
527,1,1
530,1,1
489,1,1
460,1,1
460,1,1
460,1,1
460,1,1
448,1,1
448,1,1
485,1,1
448,1,1
555,1,1
555,1,1
457,1,1
457,1,1
505,1,1
505,1,1
505,1,1
505,1,1
454,1,1
454,1,1
454,1,1
454,1,1
472,1,1
435,1,1
472,1,1
472,1,1
500,1,1
500,1,1
500,1,1
500,1,1
431,1,1
431,1,1
431,1,1
431,1,1
434,1,1
434,1,1
434,1,1
434,1,1
538,1,1
538,1,1
538,1,1
538,1,1
473,1,1
473,1,1
473,1,1
473,1,1
478,1,1
478,1,1
478,1,1
478,1,1
468,1,1
468,1,1
468,1,1
468,1,1
499,1,1
499,1,1
499,1,1
499,1,1
457,1,1
457,1,1
457,1,1
457,1,1
483,1,1
463,1,1
463,1,1
530,1,1
473,1,1
473,1,1
473,1,1
473,1,1
468,1,1
467,1,1
479,1,1
466,1,1
476,1,1
476,1,1
476,1,1
471,1,1
476,1,1
429,1,1
455,1,1
455,1,1
455,1,1
462,1,1
462,1,1
462,1,1
462,1,1
415,1,1
545,1,1
545,1,1
561,1,1
506,1,1
506,1,1
506,1,1
506,1,1
458,1,1
458,1,1
458,1,1
458,1,1
524,1,1
524,1,1
524,1,1
524,1,1
496,1,1
496,1,1
496,1,1
496,1,1
452,1,1
452,1,1
452,1,1
452,1,1
461,1,1
461,1,1
461,1,1
461,1,1
477,1,1
440,1,1
440,1,1
440,1,1
443,1,1
443,1,1
443,1,1
443,1,1
477,1,1
477,1,1
477,1,1
477,1,1
429,1,1
483,1,1
429,1,1
483,1,1
450,1,1
450,1,1
450,1,1
450,1,1
502,1,1
504,1,1
502,1,1
415,1,1
494,1,1
502,1,1
544,1,1
442,1,1
417,1,1
417,1,1
441,1,1
441,1,1
441,1,1
441,1,1
451,1,1
485,1,1
451,1,1
451,1,1
435,1,1
435,1,1
435,1,1
422,1,1
427,1,1
422,1,1
427,1,1
515,1,1
515,1,1
515,1,1
406,1,1
456,1,1
414,1,1
406,1,1
469,1,1
462,1,1
491,1,1
491,1,1
491,1,1
491,1,1
562,1,1
562,1,1
562,1,1
562,1,1
451,1,1
451,1,1
451,1,1
451,1,1
465,1,1
558,1,1
558,1,1
455,1,1
455,1,1
455,1,1
455,1,1
420,1,1
420,1,1
434,1,1
420,1,1
497,1,1
466,1,1
501,1,1
497,1,1
506,1,1
477,1,1
497,1,1
474,1,1
462,1,1
474,1,1
474,1,1
529,1,1
529,1,1
529,1,1
529,1,1
507,1,1
507,1,1
507,1,1
507,1,1
465,1,1
465,1,1
465,1,1
465,1,1
421,1,1
421,1,1
421,1,1
421,1,1
487,1,1
468,1,1
487,1,1
487,1,1
493,1,1
493,1,1
493,1,1
483,1,1
447,1,1
447,1,1
447,1,1
447,1,1
473,1,1
462,1,1
462,1,1
462,1,1
440,1,1
461,1,1
461,1,1
466,1,1
440,1,1
502,1,1
502,1,1
502,1,1
502,1,1
504,1,1
504,1,1
514,1,1
504,1,1
509,1,1
509,1,1
509,1,1
509,1,1
464,1,1
464,1,1
464,1,1
464,1,1
463,1,1
463,1,1
463,1,1
463,1,1
496,1,1
496,1,1
496,1,1
496,1,1
420,1,1
420,1,1
420,1,1
411,1,1
429,1,1
429,1,1
460,1,1
429,1,1
449,1,1
428,1,1
428,1,1
428,1,1
485,1,1
485,1,1
485,1,1
485,1,1
487,1,1
487,1,1
487,1,1
487,1,1
441,1,1
441,1,1
441,1,1
441,1,1
481,1,1
481,1,1
481,1,1
481,1,1
450,1,1
450,1,1
450,1,1
450,1,1
448,1,1
448,1,1
448,1,1
448,1,1
477,1,1
477,1,1
477,1,1
477,1,1
481,1,1
481,1,1
481,1,1
481,1,1
535,1,1
535,1,1
535,1,1
535,1,1
443,1,1
443,1,1
443,1,1
443,1,1
473,1,1
473,1,1
473,1,1
473,1,1
559,1,1
559,1,1
559,1,1
559,1,1
507,1,1
494,1,1
507,1,1
494,1,1
485,1,1
485,1,1
485,1,1
485,1,1
545,1,1
545,1,1
545,1,1
545,1,1
469,1,1
469,1,1
469,1,1
469,1,1
425,1,1
429,1,1
423,1,1
425,1,1
462,1,1
462,1,1
468,1,1
462,1,1
444,1,1
444,1,1
444,1,1
443,1,1
458,1,1
458,1,1
458,1,1
456,1,1
467,1,1
487,1,1
475,1,1
493,1,1
465,1,1
465,1,1
436,1,1
471,1,1
471,1,1
471,1,1
431,1,1
445,1,1
445,1,1
456,1,1
456,1,1
456,1,1
458,1,1
469,1,2
469,1,2
469,1,2
469,1,2
465,1,2
465,1,2
465,1,2
465,1,2
492,1,2
465,1,2
492,1,2
492,1,2
474,1,2
474,1,2
474,1,2
474,1,2
441,1,2
511,1,2
511,1,2
511,1,2
445,1,2
445,1,2
445,1,2
445,1,2
448,1,2
448,1,2
448,1,2
448,1,2
469,1,2
469,1,2
469,1,2
469,1,2
443,1,2
489,1,2
443,1,2
443,1,2
420,1,2
420,1,2
420,1,2
420,1,2
490,1,2
491,1,2
491,1,2
490,1,2
465,1,2
465,1,2
465,1,2
465,1,2
464,1,2
464,1,2
464,1,2
464,1,2
468,1,2
468,1,2
468,1,2
468,1,2
523,1,2
481,1,2
481,1,2
481,1,2
501,1,2
443,1,2
443,1,2
443,1,2
443,1,2
493,1,2
493,1,2
493,1,2
493,1,2
485,1,2
485,1,2
485,1,2
485,1,2
451,1,2
451,1,2
451,1,2
451,1,2
503,1,2
503,1,2
503,1,2
503,1,2
517,1,2
517,1,2
517,1,2
517,1,2
477,1,2
477,1,2
477,1,2
477,1,2
508,1,2
508,1,2
508,1,2
508,1,2
536,1,2
536,1,2
536,1,2
536,1,2
532,1,2
484,1,2
484,1,2
484,1,2
484,1,2
521,1,2
521,1,2
521,1,2
599,1,2
521,1,2
486,1,2
486,1,2
486,1,2
487,1,2
481,1,2
475,1,2
474,1,2
475,1,2
474,1,2
487,1,2
440,1,2
468,1,2
468,1,2
494,1,2
494,1,2
494,1,2
484,1,2
461,1,2
461,1,2
461,1,2
461,1,2
489,1,2
489,1,2
489,1,2
489,1,2
505,1,2
505,1,2
505,1,2
477,1,2
477,1,2
477,1,2
477,1,2
433,1,2
419,1,2
437,1,2
433,1,2
473,1,2
473,1,2
473,1,2
473,1,2
437,1,2
437,1,2
437,1,2
437,1,2
437,1,2
437,1,2
437,1,2
437,1,2
420,1,2
420,1,2
420,1,2
420,1,2
482,1,2
450,1,2
450,1,2
450,1,2
447,1,2
452,1,2
447,1,2
452,1,2
461,1,2
506,1,2
506,1,2
485,1,2
506,1,2
506,1,2
506,1,2
506,1,2
511,1,2
511,1,2
511,1,2
511,1,2
472,1,2
477,1,2
477,1,2
477,1,2
456,1,2
476,1,2
476,1,2
476,1,2
494,1,2
477,1,2
477,1,2
494,1,2
505,1,2
505,1,2
505,1,2
505,1,2
480,1,2
491,1,2
480,1,2
495,1,2
505,1,2
505,1,2
445,1,2
467,1,2
517,1,2
517,1,2
503,1,2
527,1,2
503,1,2
503,1,2
519,1,2
519,1,2
519,1,2
519,1,2
464,1,2
464,1,2
464,1,2
464,1,2
489,1,2
489,1,2
489,1,2
489,1,2
499,1,2
499,1,2
499,1,2
520,1,2
509,1,2
520,1,2
509,1,2
514,1,2
509,1,2
509,1,2
532,1,2
532,1,2
479,1,2
479,1,2
427,1,2
474,1,2
462,1,2
462,1,2
462,1,2
462,1,2
469,1,2
469,1,2
469,1,2
469,1,2
502,1,2
502,1,2
502,1,2
502,1,2
450,1,2
451,1,2
467,1,2
467,1,2
499,1,2
467,1,2
467,1,2
436,1,2
472,1,2
432,1,2
434,1,2
432,1,2
531,1,2
531,1,2
531,1,2
531,1,2
561,1,2
561,1,2
561,1,2
561,1,2
462,1,2
462,1,2
462,1,2
462,1,2
479,1,2
479,1,2
479,1,2
479,1,2
537,1,2
537,1,2
537,1,2
537,1,2
438,1,2
438,1,2
438,1,2
438,1,2
434,1,2
434,1,2
434,1,2
434,1,2
469,1,2
469,1,2
469,1,2
469,1,2
474,1,2
474,1,2
474,1,2
483,1,2
471,1,2
442,1,2
471,1,2
471,1,2
471,1,2
433,1,2
433,1,2
433,1,2
433,1,2
459,1,2
459,1,2
459,1,2
459,1,2
452,1,2
452,1,2
452,1,2
414,1,2
466,1,2
466,1,2
414,1,2
457,1,2
457,1,2
457,1,2
457,1,2
533,1,2
533,1,2
533,1,2
522,1,2
533,1,2
514,1,2
514,1,2
514,1,2
514,1,2
459,1,2
459,1,2
459,1,2
459,1,2
459,1,2
459,1,2
460,1,2
460,1,2
460,1,2
460,1,2
502,1,2
502,1,2
502,1,2
502,1,2
480,1,2
480,1,2
480,1,2
480,1,2
547,1,2
486,1,2
494,1,2
547,1,2
480,1,2
480,1,2
480,1,2
480,1,2
536,1,2
536,1,2
536,1,2
536,1,2
500,1,2
500,1,2
500,1,2
500,1,2
421,1,2
421,1,2
421,1,2
463,1,2
489,1,2
489,1,2
489,1,2
489,1,2
524,1,2
524,1,2
461,1,2
524,1,2
413,1,2
413,1,2
413,1,2
413,1,2
479,1,2
479,1,2
479,1,2
479,1,2
479,1,2
510,1,2
472,1,2
472,1,2
500,1,2
500,1,2
456,1,2
456,1,2
456,1,2
456,1,2
484,1,2
484,1,2
484,1,2
484,1,2
506,1,2
506,1,2
506,1,2
506,1,2
529,1,2
470,1,2
530,1,2
529,1,2
487,1,2
499,1,2
491,1,2
499,1,2
473,1,2
473,1,2
457,1,2
473,1,2
497,1,2
494,1,2
456,1,2
497,1,2
455,1,2
455,1,2
519,1,2
412,1,2
412,1,2
412,1,2
412,1,2
490,1,2
499,1,2
490,1,2
466,1,2
439,1,2
466,1,2
466,1,2
452,1,2
452,1,2
452,1,2
455,1,2
476,1,2
476,1,2
476,1,2
476,1,2
442,1,2
455,1,2
442,1,2
455,1,2
496,1,2
500,1,2
500,1,2
500,1,2
468,1,2
468,1,2
458,1,2
455,1,2
432,1,2
453,1,2
468,1,2
463,1,2
463,1,2
463,1,2
505,1,2
479,1,2
476,1,2
476,1,2
479,1,2
450,1,2
460,1,2
451,1,2
450,1,2
466,1,2
502,1,2
483,1,2
448,1,2
448,1,2
483,1,2
436,1,2
603,1,2
591,1,2
436,1,2
569,1,2
593,1,2
508,1,2
508,1,2
470,1,2
470,1,2
470,1,2
470,1,2
455,1,2
455,1,2
430,1,2
488,1,2
489,1,2
488,1,2
489,1,2
470,1,2
515,1,2
515,1,2
470,1,2
405,1,2
405,1,2
405,1,2
405,1,2
456,1,2
439,1,2
456,1,2
477,1,2
477,1,2
477,1,2
